model,query,expected_answer,retrieved_answer,strict_recall,strict_mrr,judged_valid,final_recall
infgrad/stella-base-en-v2,What Is The Best Critical Illness Insurance? ,"There is no one best critical illness insurance policy . To find the one that is best for you , you need to review the conditions covered , the premium you will need to pay , the stability of the insurance company offering it , and the contractual provisions of the policy . ","There is no one best critical illness insurance policy . To find the one that is best for you , you need to review the conditions covered , the premium you will need to pay , the stability of the insurance company offering it , and the contractual provisions of the policy . ",1.0,1.0,False,1.0
infgrad/stella-base-en-v2,Is Life Insurance An Annuity? ,"No , life insurance is not an annuity , even though both life insurance and annuities are sold by life insurance companies . Life insurance is usually purchased to provide for others after the insured person dies . Annuities are usually secured to provide for income while the insured person is still alive . However , life insurance can also provide income while the insured person is alive , and annuities can be saved to provide for loved ones after the insured person 's death . Also , life insurance proceeds can be collected by the beneficiary in installments , as in an annuity . So there is some overlap , but they are not the same product . ","No , life insurance is not an annuity , even though both life insurance and annuities are sold by life insurance companies . Life insurance is usually purchased to provide for others after the insured person dies . Annuities are usually secured to provide for income while the insured person is still alive . However , life insurance can also provide income while the insured person is alive , and annuities can be saved to provide for loved ones after the insured person 's death . Also , life insurance proceeds can be collected by the beneficiary in installments , as in an annuity . So there is some overlap , but they are not the same product . ",1.0,1.0,False,1.0
infgrad/stella-base-en-v2,How Much Does It Cost To Buy Health Insurance? ,"Health insurance costs vary depending on where you live , how old you are and until 2014 , the type and severity of your health conditions -LRB- if any -RRB- . Individual and family private health insurance plans are available at the lowest possible rates through independent brokers and reputable websites . You can receive prices in minutes and apply online . There never is any cost or obligation and the expert advice you receive will help you find the best plans . ",Great Question . Typically Health insurance cost an average of $ 100 - $ 300 a month depends on the health insurance plan you select . The more money the plan the less is out of pocket cost . It all depends on your monthly budget good luck in selecting a plan . Please consult with a local broker on the rates and coverages . ,0.0,0.0,False,0.0
infgrad/stella-base-en-v2,Is Life Insurance Mandatory In New Mexico? ,"No , Life Insurance is not mandatory in New Mexico or any other state . At this time , health insurance is the only insurance in the process of becoming mandatory for most Americans , and liability car insurance is mandatory in many states . Whether or not you buy Life Insurance is up to you . ","No , Life Insurance is not mandatory in New Mexico or any other state . At this time , health insurance is the only insurance in the process of becoming mandatory for most Americans , and liability car insurance is mandatory in many states . Whether or not you buy Life Insurance is up to you . ",1.0,1.0,False,1.0
infgrad/stella-base-en-v2,What To Do If You Can't Afford Health Insurance? ,"That is a great question ! I 'd recommend that you go to the Affordable Care Act -LRB- Obamacare -RRB- site WEBSITELINK and look there first . It is very likely that you will qualify for discounted coverage . I do a lot of work with folks who struggle to make ends meet , and so far , everyone of them has found a policy there that they could afford , that was really a blessing . If you need help , please feel free to contact me , okay ? Thanks for asking ! ","There are several options for you if you ca n't afford health insurance . First , many people qualify for subsidized premium payments through the healthcare exchanges . I have seen people purchase health insurance that was free , and many that paid between $ 20 and $ 60 per month for compliant health plans . The real premium may be much higher but the Federal government helps you pay the premium if you make between 100 % and 400 % of the federal poverty level . If you make less than 100 % of the federal poverty level you should qualify for Medicaid if you are in a state that allowed for Medicaid expansion . About 22 states have done that , so your chance is about 50/50 that you would be able to get free coverage through Medicaid if you make less than 100 % of the federal poverty level . You can also claim that purchasing health insurance is a financial hardship . This is more of an accounting issue than an insurance issues so consult an accountant but I believe the burden of proof -LRB- this year -RRB- is fairly easy you simply fill out a form stating that you could n't afford it . Worst case you pay the penalty when you do your taxes which is $ 95.00 or 1 % of your income whichever is more , so the penalty is not a huge deal , but as you can see there are several inexpensive ways to get coverage and not pay a lot . Email me directly and I can help get you pointed in the right direction . My email is WEBSITELINK ",0.0,0.0,False,0.0
infgrad/stella-base-en-v2,Is Term Life Insurance An Asset? ,"Term life insurance is not considered an asset on income tax or when applying for Medicaid or financial aid . The only life insurance that is usually considered an asset is the cash value of permanent insurance , and then the face amount of the Whole or Universal Life is not the asset , but the cash value only . ","No , a term life insurance policy is not an asset . The only type of policies that are considered assets are whole life and universal life because these polices accumulate cash value . The only point where a term life insurance policy would be an asset is after a death claim and the proceeds would become an asset to the beneficiary . ",0.0,0.0,True,1.0
infgrad/stella-base-en-v2,What Is Term Life Insurance With A Cash Value? ,"If term life insurance has a cash value , it is possibly a universal life policy priced to provide temporary coverage for a low level premium . Some insurers have introduced `` UL Term '' . There is also a product called Return of Premium Term which is temporary term coverage that provides a cash surrender value at the end of the term period which represents a return of the term premiums paid . It used to be more popular when the rates for this niche product were a lot lower . ","Is this a trick question ? Term life insurance does not have cash value . Term policies pay a death benefit when the insured passes away while the policy is in force . You ca n't cash in the policy and get your money back , or get a policy loan . Whole life and universal life are examples of permanent coverage that has cash value . Your monthly premiums are often much higher to fund the cash accumulation . ",0.0,0.0,True,1.0
infgrad/stella-base-en-v2,Does Homeowners Insurance Cover Damaged Jewelry? ,Damage to jewelry typically would not be covered under a homeonwers policy . Lost or stolen jewelry is a coverage that is provided under most homeowners policies with specific limitations . Please read your policy completely to understand the coverage that is provided and any exclusions that may be contained within the policy or contact your local agent to have them go over the policy with you . ,Almost all homeowners insurance policies provide limited coverage for jewelry . If you have a piece of jewelry that is over $ 1000 for a single piece it will more than likely need to be scheduled on your homeowners policy to be properly covered . Remember every policy and carrier are different . Read your policy completely to understand what coverage is provided and what exclusions there may be or contact your local agent to have them go over the policy with you . ,1.0,0.5,False,1.0
infgrad/stella-base-en-v2,Can I Get Life Insurance With PTSD? ,"Post-traumatic stress disorder -LRB- PSTD -RRB- has a couple of diagnostic items to review that seem to accompany this psychiatric condition . PSTD has secondary complications such as drug and/or alcohol abuse is indicator that the recovery has not been initiated . Two other items are difficulty holding down a job or divorce , sometimes spousal abuse occurs . Some life insurance companies discriminate PTSD between domestic and combat orientation . Ongoing management medication may also debit the underwriting balance sheet . All health considerations taken into account , PTSD should be standard issue with most impaired risk life insurance companies . ","You can get Life Insurance if you have PTSD , or Post Traumatic Stress Disorder . If your PTSD is very mild , you have shown stability for a couple of years , you are being treated successfully or no longer need treatment , and you are able to work full time , you can get medically underwritten coverage of about any amount of life insurance you need . If you are on Disability for your PTSD , have been recently hospitalized for it , or have been experimenting with some different treatment plans to find one that works , you will most likely need to go with a simplified issue policy . The premiums will be higher , the face amount will be limited , and the policy may be graded . But it still is a good choice for persons with debilitating PTSD and will give you peace of mind to have life insurance to cover your final expense needs . ",0.0,0.0,False,0.0
infgrad/stella-base-en-v2,How Long Can You Be On Your Parents Health Insurance? ,"One of the changes to the Patient Protection and Affordable Care Act -LRB- Obama Care -RRB- was to allow a child to stay on a parents plan until the age of 26 . There have been many negative implementations with this bill , but this is one of the good ones . Many College students are having trouble finding work in a less than stellar economy . This change will help make sure theyaccess tohealthinsurance . ","Yes , you can stay on your parents ' health insurance plan until age 26 . After this point , you will have to secure coverage under a separate plan . You can secure coverage through an individual plan purchased on or off the health insurance exchanges . You may also have the option of group insurance through your employer if they offer it . I hope the information is helpful - please feel free to contact me for help and if you have any other questions . Thanks very much . ",0.0,0.0,False,0.0
infgrad/stella-base-en-v2,How Good Is Globe Life Insurance? ,When you ask how good is X company I think that what you are really asking is if I have their policy and something happens will they pay ? Globe Life insurance is a good company that primarily markets through direct mail operation . They have great name recognition but there are other companies with equal credentials whose price point is lower . Before buying any coverage always check with an experienced broker that represents multiple carriers to way out all of your options ,"Globe life insurance is an A + rated life insurance company that has been around since 1951 . Globe offers term insurance , whole life insurance and children 's insurance . They have a deal where you pay $ 1 for the first month and then your premium is based on your age at the time of issue . ",1.0,0.3333333333333333,False,1.0
infgrad/stella-base-en-v2,What Does Voluntary Excess Mean On Car Insurance? ,"The terms you are using are somewhat taken out of context so I do not know exactly how they are used . With that said , let me explain the two words `` Voluntary '' refers to coverage provided to a customer because the insurer wants to provide coverage in that state for the assigned price . You are free to buy it or not and the company is free to insure you or not . `` Involuntary '' would refer to policies an insurer must write , because of some risk sharing mechanism such as an Assigned Risk Plan . The insurer by virtue of its voluntary writings is then required to take some per cent of the involuntary exposures in a state . This is true of assigned risk plans which operate in about 40 states . `` Excess '' refers to an amount of coverage over some other coverage . You can obtain Excess coverage over your limits of liability coverage and sometimes over your Uninsured Motorist Coverage . Typically a person might buy an Umbrella policy to be `` excess `` of their personal auto coverage . If you are offered Excess coverage over a specific coverage you should ask an insurance professional if an umbrella is available as well . ","The terms you are using are somewhat taken out of context so I do not know exactly how they are used . With that said , let me explain the two words `` Voluntary '' refers to coverage provided to a customer because the insurer wants to provide coverage in that state for the assigned price . You are free to buy it or not and the company is free to insure you or not . `` Involuntary '' would refer to policies an insurer must write , because of some risk sharing mechanism such as an Assigned Risk Plan . The insurer by virtue of its voluntary writings is then required to take some per cent of the involuntary exposures in a state . This is true of assigned risk plans which operate in about 40 states . `` Excess '' refers to an amount of coverage over some other coverage . You can obtain Excess coverage over your limits of liability coverage and sometimes over your Uninsured Motorist Coverage . Typically a person might buy an Umbrella policy to be `` excess `` of their personal auto coverage . If you are offered Excess coverage over a specific coverage you should ask an insurance professional if an umbrella is available as well . ",1.0,1.0,False,1.0
infgrad/stella-base-en-v2,Is Pet Health Insurance A Good Idea? ,"Pet Health Insurance is a good idea if you are willing to go to extreme measures to treat your pet , or save its life . Consumer Reports in Sept of 2011 concluded that pet insurance is not necessary for those who are willing to set aside some money each month for their pets ' medical needs . However , other agencies concluded that it is necessary due to the high cost of treating pets and managing their pain . Again , if you are willing to provide dialysis , transplants , diabetes shots , and the like to extend the life of your pet , pet insurance can pay off . ","Pet Health Insurance is a good idea if you are willing to go to extreme measures to treat your pet , or save its life . Consumer Reports in Sept of 2011 concluded that pet insurance is not necessary for those who are willing to set aside some money each month for their pets ' medical needs . However , other agencies concluded that it is necessary due to the high cost of treating pets and managing their pain . Again , if you are willing to provide dialysis , transplants , diabetes shots , and the like to extend the life of your pet , pet insurance can pay off . ",1.0,1.0,False,1.0
infgrad/stella-base-en-v2,Where Can You Buy Renters Insurance? ,Renters Insurance can be purchased through any agency . We have many insurance carriers that we work with that offer great rates . Contact me if you are interested in obtaining protection for your belongings . We will require information on the property you will be renting along with the coverage limit desired . ,"Renters insurance is available through several sources . However , the best place to buy insurance is from a trusted insurance agent . If you dont have an agent , ask your friends , colleagues or neighbors for a referral . A good insurance agent will listen to you , provide sound financial advice and communicate clearly with you and the insurance company . His or her services are invaluable when it comes to setting limits and taking care of other requirements . The agent is particularly valuable when you have a claim . ",1.0,0.5,False,1.0
infgrad/stella-base-en-v2,How Do Life Insurance Companies Make Money? ,"Li `` safe moneyfe insurance companies make money the same way your bank makes money . The insurance company uses actuaries to help them design their products to assure they are covering their costs plus sufficient profit . When you pay your monthly payment the insurance companies uses the services of an Investment manager to calculate their `` short term liquidity needs '' and then they invest the balance usually in bonds , especially for `` safe money '' companies that do not invests in stocks or other investments that carry a higher degree of risk ","Life insurance companies make money the same way that car insurance companies make money ... from the premiums you pay . The most simple form of life insurance is term life insurance . If 100 people buy a 20 - year term life insurance policy , they will all pay premiums for 20-years -LRB- less if they cancel early -RRB- but only 1 of them will die during the 20-years . 99 of they will outlive the term . The life insurance companies price each policy based on the likeliness that you would die while the policy is covering you . You do n't have to worry too much about insurance companies . They know the numbers . They make money . ",0.0,0.0,False,0.0
infgrad/stella-base-en-v2,How To Buy A Medigap Policy? ,"Buying a Medigap policy does n't have to be as complicated as it may look . The best way to save yourself a lot of time is to contact an independent agent that specializes in Medigap Plans . You will be able to review the plans that are available , get all your questions answered and get help in determining which plan will meet your needs . Medigap Plans all have a letter such as Plan F , Plan G , Plan J , etc. . If it does n't have a letter it is not a Medigap policy . ","You can buy a Medigap policy through a Medigap insurance agent - I highly recommend doing it through an independent agent who can shop your case among many carriers instead of just 1 or 2 through a captive agent -LRB- agents who are basically employees of a specific company -RRB- . You can apply for a Medigap plan up to 3 months before your Medicare Part B effective date - you must have both Medicare Part A & Medicare Part B to buy a Medigap plan . Once you have an established Medicare Part B effective date , you will have a 6-month open enrollment period to buy any Medigap plan from any carrier with NO medical underwriting - this is THE BEST time to buy a Medigap plan . After this point , you can buy a new Medigap plan whenever you would like -LRB- there are no annual enrollment periods for Medigap plans -RRB- , however , you would have to go through medical underwriting if you do n't qualify for a special enrollment period or a guaranteed-issue right . Determining which Medigap plan is right from you and which carrier to apply for the plan through can be a bit more involved than some may realize . It 's not all about price as some may believe . You need to look at the carriers ' premium rating methods -LRB- community , attained , or issue age rated -RRB- , their rates , their rate increase history , their service history , and other factors . I hope the information is helpful - please feel free to contact me for assistance with your Medigap coverage needs , including providing quotes and plan comparisons , and if you have any other questions . Thanks very much . ",0.0,0.0,True,1.0
infgrad/stella-base-en-v2,Is Homeowners Insurance Paid By Escrow? ,"This will depend on the type of loan and/or your preference when your loan funded . If you see part your mortgage payment contribution sent to an escrow account thenit can be either used for taxes only , insurance only , or a combination of both . It is best to contact your lender if you are unsure on the escrow assignments . Switching your home insurance means replacing the prior policy details with a new one for payment from your account . It also means that your escrow contributions will be recalculated , therefor either lowering or increasing your mortgage payment . ","Homeowners insurance can be paid by the insured or by the mortgage company from an escrow account . While it is optional for some borrowers , most are required by the lender to use the escrow account . The homeowners policy also protects the interest of the mortgage company and they want to make sure that coverage remains in force . ",0.0,0.0,False,0.0
infgrad/stella-base-en-v2,Does Health Insurance Pay For Glasses? ,"You would be best served to assume the answer to this question will be `` No '' , especially if you are over age 18 . Vision exams , eyeglasses and contact lenses are generally covered under a separate vision insurance plan if your employer offers one or you choose to purchase coverage in the individual market . There are certainly some self-funded employer health plans and union health plans that include vision coverage in the major medical package but these are relatively rare . An area of confusion and frustration for many businesses and individuals who are purchasing health insurance plans that meet the minimum essential benefits requirements of the Affordable Care Act -LRB- ObamaCare -RRB- is that it requires that PEDIATRIC dental and vision services be covered under the major medical plan . Of course , some people just hear the dental & vision part and think it applies to adults enrolled in the plan -LRB- it does n't -RRB- . The other big surprise can be how the pediatric dental & vision benefits are structured in the health plan . Preventive dental and an annual eye exam should be covered at 100 % . After that , the coverage can vary wildly from one insurance carrier to the next . Some design their pediatric dental & vision benefits like standard vision and dental insurance plans that people have been accustomed to . However , it is not uncommon to find that non-preventive pediatric dental and vision services are subject to the major medical plan 's deductible and co-insurance provisions . So , technically your child 's eyeglasses may be covered but if you have a $ 4000 deductible you have n't met then in practical terms this will mean your child 's eyeglasses will be an out-of-pocket expense . ","Medicare does n't pay for glasses . In short , you will need to secure coverage under a separate vision insurance plan to receive benefits for glasses , contacts , and other routine services . Part B can provide coverage for some preventive and diagnostic eye exams for people at high-risk of certain conditions -LRB- e.g. diagnosing retinopathy in diabetics or mascular degeneration for age-related conditions -RRB- . You can check out the medicare.gov website for more specific information regarding condition/risk requirements for Medicare to pay benefits . ",0.0,0.0,True,1.0
infgrad/stella-base-en-v2,Is Life Insurance Settlement Taxable Income? ,"Is a life insurance settlement a taxable event ? Well the answer is depends . Normally life insurance premiums are paid with after tax dollars so based on IRS code the benefit paid is considered tax free . That said , some retirement plans can use life insurance and likewise in some business applications and write off the premium , which then makes the benefit taxable income when taken . ","Is a life insurance settlement a taxable event ? Well the answer is depends . Normally life insurance premiums are paid with after tax dollars so based on IRS code the benefit paid is considered tax free . That said , some retirement plans can use life insurance and likewise in some business applications and write off the premium , which then makes the benefit taxable income when taken . ",1.0,1.0,False,1.0
infgrad/stella-base-en-v2,How Do Variable Annuities Work? ,"Variable annuities are complex financial products that can make sense for a very small subset of people.Typically a payment or series of payments are made to fund the policy . The funds are then typically invested in non guaranteed investments such as stocks or mutual funds . The reason they are variable is that the gains or losses will vary period to period , subject to policy specific caps.Fees tend to be higher with this type of policy . Depending on your objectives , you should be able to find better alternatives . As always consult with a trusted advisor . ","Variable annuities are complex financial products that can make sense for a very small subset of people.Typically a payment or series of payments are made to fund the policy . The funds are then typically invested in non guaranteed investments such as stocks or mutual funds . The reason they are variable is that the gains or losses will vary period to period , subject to policy specific caps.Fees tend to be higher with this type of policy . Depending on your objectives , you should be able to find better alternatives . As always consult with a trusted advisor . ",1.0,1.0,False,1.0
infgrad/stella-base-en-v2,Is Renters Insurance Worthwhile? ,"Ask yourself these question : If I came home and found that the apartment I was renting as my home had been completely destroyed by a fire , would I have the finacial wherewithall to fully replace all of my lost posessions with items of the same value and quality ? Or if someonetripped over my bike which I left leaning against the house while I went into my apartment to get some water after a long ride , and they broke their arm and I was sued as a result , do I have the finanacial strength to pay their damages ? If you answered yes to those , you probably do n't need renters ' insurance . On the other hand , you could have that protection for pennies on the dollar by paying an insurance company to protect your interests . Your choice . ",Where to start ... this is a great question with a variety of appropriate answers . I 'll do my best to summarize why I feel renters insurance is valuable . Protect your personal belongings from loss or damage Protect your income from liability claims There are certainly more reasons but these are the big ones . I recommend talking with a local independent agent to highlight more benefits for your specific situation . Good luck ! ,0.0,0.0,False,0.0
infgrad/stella-base-en-v2,Does The Federal Government Offer Long Term Disability Insurance? ,"The Federal Government provides Social Security Disability for people who worked and paid into the system , and have a disability that is expected to last for twelve months or longer , or result in death . Certain people born with a disability may be eligible to receive benefits after age eighteen . Only private companies offer long term disability insurance for purchase . These policies may pay larger benefit amounts , for a wider array of disabling conditions than does Social Security Disability . ","The federal government does not directly provide disability coverage to its employees . There are very generous sick leave policies , but not true disability . There are a variety of private insurance carriers that sell to federal government employees indirectly . Some allow union members to purchase policies as a member benefit . Others have group plans that allow you to fund premiums directly from PayCenter and Postalease allottments . ",1.0,0.3333333333333333,False,1.0
infgrad/stella-base-en-v2,Is Inherited Life Insurance Taxable? ,"Inherited life insurance is not taxable for income tax , in most situations . However , if the amount of the life insurance proceeds caused the estate to exceed the limit for exemption from state or federal estate taxes , the estate taxes will need to be paid by someone . Sometimes the policyholder will express in his/her will if the beneficiary is to help contribute to the payment of estate taxes . If there is no will , the laws of the state in which you reside will determine if you have to contribute to the estate tax payment . ","Inherited life insurance is not taxable for income tax , in most situations . However , if the amount of the life insurance proceeds caused the estate to exceed the limit for exemption from state or federal estate taxes , the estate taxes will need to be paid by someone . Sometimes the policyholder will express in his/her will if the beneficiary is to help contribute to the payment of estate taxes . If there is no will , the laws of the state in which you reside will determine if you have to contribute to the estate tax payment . ",1.0,1.0,False,1.0
infgrad/stella-base-en-v2,Who Is Covered By Renters Insurance? ,"Renters Insurance policies cover the ` Insured ' person or persons for loss of personal property against covered perilsand also any third party for bodily injury or property damage as a result of the insured 's negligence as covered by the policy up to the limits on the declarations page . It is important to review the limits of coverage , applicable deductible and covered perils when purchasing and renewing your renters insurance policy . ","Renters insurance will typically provide the insured and the insured 's immediately family residing at the covered premise personal property protection , personal liability protection , and typically loss of use coverage . Remember every policy is different . Please read your policy completely to understand the coverage provided and any exclusions that there may be or contact your local agent to have them go over the policy with you . ",0.0,0.0,True,1.0
